financial_year,state,wage_price_index
2016-17,Victoria,125.9
2016-17,Queensland,125.4
2016-17,South Australia,126.2
2016-17,Western Australia,126.6
2016-17,Tasmania,125.8
2016-17,Northern Territory,126.9
2016-17,Australian Capital Territory,124.2
2016-17,Australia,125.6
2016-17,New South Wales,125.6
2016-17,Victoria,126.4
2016-17,Queensland,125.8
2016-17,South Australia,126.4
2016-17,Western Australia,127
2016-17,Tasmania,126
2016-17,Northern Territory,127.2
2016-17,Australian Capital Territory,124.9
2016-17,Australia,126.1
2017-18,New South Wales,126.8
2017-18,Victoria,127.4
2017-18,Queensland,127
2017-18,South Australia,127.5
2017-18,Western Australia,127.7
2017-18,Tasmania,127.6
2017-18,Northern Territory,127.8
2017-18,Australian Capital Territory,125.5
2017-18,Australia,127.1
2017-18,New South Wales,127.2
2017-18,Victoria,128.2
2017-18,Queensland,127.7
2017-18,South Australia,128.1
2017-18,Western Australia,128.1
2017-18,Tasmania,127.9
2017-18,Northern Territory,128
2017-18,Australian Capital Territory,126.1
2017-18,Australia,127.7
2017-18,New South Wales,127.8
2017-18,Victoria,128.8
2017-18,Queensland,128.1
2017-18,South Australia,128.9
2017-18,Western Australia,128.5
2017-18,Tasmania,128.7
2017-18,Northern Territory,128.3
2017-18,Australian Capital Territory,126.7
2017-18,Australia,128.2
2017-18,New South Wales,128.3
2017-18,Victoria,129.5
2017-18,Queensland,128.6
2017-18,South Australia,129.1
2017-18,Western Australia,128.9
2017-18,Tasmania,129.1
2017-18,Northern Territory,129.1
2017-18,Australian Capital Territory,127.2
2017-18,Australia,128.7
2018-19,New South Wales,129.8
2018-19,Victoria,130.6
2018-19,Queensland,129.9
2018-19,South Australia,130.3
2018-19,Western Australia,129.7
2018-19,Tasmania,130.9
2018-19,Northern Territory,130
2018-19,Australian Capital Territory,128.2
2018-19,Australia,130
2018-19,New South Wales,130.3
2018-19,Victoria,131.6
2018-19,Queensland,130.6
2018-19,South Australia,131.1
2018-19,Western Australia,130.1
2018-19,Tasmania,131.2
2018-19,Northern Territory,130.8
2018-19,Australian Capital Territory,128.6
2018-19,Australia,130.6
2018-19,New South Wales,130.8
2018-19,Victoria,132.3
2018-19,Queensland,131.1
2018-19,South Australia,131.6
2018-19,Western Australia,130.5
2018-19,Tasmania,131.9
2018-19,Northern Territory,131.4
2018-19,Australian Capital Territory,129.3
2018-19,Australia,131.2
2018-19,New South Wales,131.3
2018-19,Victoria,133.2
2018-19,Queensland,131.5
2018-19,South Australia,131.9
2018-19,Western Australia,130.9
2018-19,Tasmania,132.2
2018-19,Northern Territory,131.6
2018-19,Australian Capital Territory,130
2018-19,Australia,131.8
2019-20,New South Wales,132.6
2019-20,Victoria,134.2
2019-20,Queensland,132.6
2019-20,South Australia,133.3
2019-20,Western Australia,131.8
2019-20,Tasmania,133.9
2019-20,Northern Territory,132.9
2019-20,Australian Capital Territory,131.4
2019-20,Australia,132.9
2019-20,New South Wales,133.1
2019-20,Victoria,135.1
2019-20,Queensland,133
2019-20,South Australia,134.1
2019-20,Western Australia,132.3
2019-20,Tasmania,134.6
2019-20,Northern Territory,134.1
2019-20,Australian Capital Territory,131.6
2019-20,Australia,133.5
2019-20,New South Wales,133.6
2019-20,Victoria,135.6
2019-20,Queensland,133.8
2019-20,South Australia,134.6
2019-20,Western Australia,132.8
2019-20,Tasmania,135
2019-20,Northern Territory,134.5
2019-20,Australian Capital Territory,132.3
2019-20,Australia,134.1
2019-20,New South Wales,133.6
2019-20,Victoria,135.5
2019-20,Queensland,133.8
2019-20,South Australia,135.1
2019-20,Western Australia,133
2019-20,Tasmania,135.4
2019-20,Northern Territory,134.6
2019-20,Australian Capital Territory,132.6
2019-20,Australia,134.1
2020-21,New South Wales,134.4
2020-21,Victoria,135.8
2020-21,Queensland,134.6
2020-21,South Australia,135.7
2020-21,Western Australia,133.7
2020-21,Tasmania,136.1
2020-21,Northern Territory,135.2
2020-21,Australian Capital Territory,133.3
2020-21,Australia,134.7
2020-21,New South Wales,134.9
2020-21,Victoria,136.8
2020-21,Queensland,135.1
2020-21,South Australia,136
2020-21,Western Australia,134.2
2020-21,Tasmania,136.6
2020-21,Northern Territory,136.2
2020-21,Australian Capital Territory,133.5
2020-21,Australia,135.4
2020-21,New South Wales,135.6
2020-21,Victoria,137.6
2020-21,Queensland,135.7
2020-21,South Australia,136.7
2020-21,Western Australia,134.7
2020-21,Tasmania,137.7
2020-21,Northern Territory,136.9
2020-21,Australian Capital Territory,134
2020-21,Australia,136.1
2020-21,New South Wales,136
2020-21,Victoria,138
2020-21,Queensland,136.1
2020-21,South Australia,137.2
2020-21,Western Australia,135.1
2020-21,Tasmania,138.4
2020-21,Northern Territory,137.1
2020-21,Australian Capital Territory,134.8
2020-21,Australia,136.5
2021-22,New South Wales,137.2
2021-22,Victoria,139.2
2021-22,Queensland,137.3
2021-22,South Australia,138.2
2021-22,Western Australia,136.2
2021-22,Tasmania,139.8
2021-22,Northern Territory,138.4
2021-22,Australian Capital Territory,136.1
2021-22,Australia,137.7
2021-22,New South Wales,138.1
2021-22,Victoria,139.9
2021-22,Queensland,138.4
2021-22,South Australia,138.9
2021-22,Western Australia,136.9
2021-22,Tasmania,140.7
2021-22,Northern Territory,139.1
2021-22,Australian Capital Territory,137
